epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,178.493,0.14003,0.2827,28.0472,0.11824,0,0,0,0,0,0,0,0,0,0.20023,0.6476,4680.65,0.15536,0,0.000662252,0.000662252,0.000662252
2,354.326,0.2093,0.57463,2.69743,0.1733,0,0,0,0,0,0,0,0,0,0.25435,0.35268,61.6091,0.24614,0,0.00131795,0.00131795,0.00131795
3,529.816,0.18139,0.31165,0.98934,0.12954,0,0,0,0,0,0,0,0,0,0.18122,0.27091,1422.74,0.10696,0,0.00196266,0.00196266,0.00196266
4,704.383,0.16098,0.28346,0.59338,0.11987,0,0,0,0,0,0,0,0,0,0.13122,14.0748,0.52037,0.1325,0,0.0019505,0.0019505,0.0019505
5,880.384,0.11766,0.23065,0.2528,0.1044,0,0,0,0,0,0,0,0,0,0.1455,6.7177,0.45845,0.10044,0,0.001934,0.001934,0.001934
6,1055.41,0.2302,0.34485,0.50018,0.16632,0,0,0,0,0,0,0,0,0,0.22348,0.30392,0.46154,0.15739,0,0.0019175,0.0019175,0.0019175
7,1230.1,0.15214,0.25701,0.38698,0.10752,0,0,0,0,0,0,0,0,0,0.29889,0.3171,0.5112,0.37309,0,0.001901,0.001901,0.001901
8,1404.04,0.17638,0.23899,0.43157,0.12579,0,0,0,0,0,0,0,0,0,0.20913,0.18222,0.40232,0.1647,0,0.0018845,0.0018845,0.0018845
9,1579.98,0.19204,0.25925,0.46836,0.15334,0,0,0,0,0,0,0,0,0,0.1556,0.20863,0.50092,0.12663,0,0.001868,0.001868,0.001868
