epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3554.63,1.33336,1.45626,1.5399,1.06543,0,0.54669,0.56923,0.65819,0.40524,0.56396,0.61538,0.68229,0.39985,1.48286,1.96095,1.50222,1.27416,0,0.00133175,0.00133175,0.00133175
29,3681.47,1.22066,1.49587,1.35409,1.07347,0,0.62926,0.56923,0.67812,0.42635,0.62793,0.64615,0.71536,0.41225,1.45741,1.91394,1.72404,1.27017,0,0.001307,0.001307,0.001307
30,3806.02,1.26922,1.50011,1.3054,1.01529,0,0.8362,0.54986,0.71549,0.42141,0.883,0.58063,0.73842,0.43127,1.50538,2.17729,1.47425,1.27933,0,0.00128225,0.00128225,0.00128225
31,3930.08,1.25848,1.50725,1.29778,1.03986,0,0.7062,0.52308,0.66349,0.40402,0.74222,0.55385,0.69728,0.39884,1.43231,2.08215,1.73829,1.27513,0,0.0012575,0.0012575,0.0012575
32,4053.54,1.33294,1.44599,1.29362,1.08607,0,0.61376,0.67692,0.70278,0.41384,0.74646,0.63077,0.73362,0.41649,1.3794,1.9771,1.4441,1.25146,0,0.00123275,0.00123275,0.00123275
33,4177.41,1.3307,1.47171,1.28264,1.11651,0,0.74102,0.63077,0.73923,0.43651,0.76908,0.67692,0.77131,0.44968,1.35592,1.87703,1.3972,1.24403,0,0.001208,0.001208,0.001208
34,4300.68,1.30701,1.44156,1.41755,1.0948,0,0.70012,0.56923,0.68233,0.41243,0.75608,0.63077,0.70713,0.4179,1.3553,1.88548,1.61251,1.23435,0,0.00118325,0.00118325,0.00118325
35,4424.45,1.22116,1.58084,1.32542,1.04397,0,0.78832,0.57299,0.70181,0.40223,0.85378,0.64615,0.72974,0.42341,1.47169,1.91665,1.49878,1.26277,0,0.0011585,0.0011585,0.0011585
36,4550.25,1.18854,1.34839,1.18125,1.02371,0,0.69197,0.66154,0.72145,0.4387,0.77123,0.63077,0.74564,0.42472,1.45136,1.94592,1.38327,1.22645,0,0.00113375,0.00113375,0.00113375
37,4676.41,1.12487,1.3174,1.18925,0.97615,0,0.77675,0.6,0.72438,0.45237,0.82134,0.63077,0.74905,0.44759,1.3742,1.89571,1.3699,1.24216,0,0.001109,0.001109,0.001109
38,4802.75,1.33753,1.5478,1.27528,1.11016,0,0.73529,0.69231,0.74484,0.45854,0.77367,0.72308,0.77444,0.45342,1.42375,1.95307,1.41489,1.23039,0,0.00108425,0.00108425,0.00108425
39,4932.4,1.10421,1.35106,1.22573,0.93412,0,0.65077,0.73846,0.73516,0.46596,0.81777,0.62143,0.76668,0.46536,1.35541,1.90198,1.35572,1.21358,0,0.0010595,0.0010595,0.0010595
40,5057.55,1.12633,1.42339,1.37896,0.98874,0,0.57884,0.69231,0.61365,0.38338,0.62534,0.67692,0.64744,0.37886,1.35819,1.94449,1.73609,1.25733,0,0.00103475,0.00103475,0.00103475
41,5183.45,1.18992,1.49629,1.2685,1.08072,0,0.60433,0.72308,0.69482,0.4163,0.70112,0.64966,0.73449,0.4151,1.3811,1.93883,1.43483,1.24376,0,0.00101,0.00101,0.00101
42,5308.94,1.08796,1.33118,1.05991,0.97078,0,0.68652,0.6739,0.71244,0.42767,0.82412,0.61538,0.75859,0.43835,1.45349,1.9032,1.41025,1.25999,0,0.00098525,0.00098525,0.00098525
43,5432.91,1.09266,1.32596,1.08043,0.9746,0,0.79567,0.59911,0.71783,0.41311,0.81604,0.61422,0.74921,0.43654,1.46716,1.98857,1.45047,1.26841,0,0.0009605,0.0009605,0.0009605
